CSFII 1994-96 Food Code	Food Description in 1994-96 CSFII	GI Value	Value used in DHQ database
11461270	"Yogurt, frozen, cone, flavors other than chocolate, lowfat milk"	Null	X
11461280	"Yogurt, frozen, cone, chocolate, lowfat milk"		
11511000	"Milk, chocolate, NFS"	37	X
11511100	"Milk, chocolate, whole milk-based"	36	X
11511200	"Milk, chocolate, reduced fat milk-based (formerly ""lowfat"")"	37.5	X
11511300	"Milk, chocolate, skim milk-based"	37.5	X
11512000	"Cocoa, hot chocolate, not from dry mix, made with whole milk"	36	X
11512500	"Spanish-style hot chocolate drink, Puerto Rican style, made with evaporated milk"		
11513000	"Cocoa and sugar mixture, milk added, NS as to type of milk"	37	X
11513100	"Cocoa and sugar mixture, whole milk added"	36	X
11513150	"Cocoa and sugar mixture, reduced fat milk added"		
11513200	"Cocoa and sugar mixture, lowfat milk added"	37.5	X
11513300	"Cocoa and sugar mixture, skim milk added"	37.5	X
11513400	"Chocolate syrup, milk added, NS as to type of milk"		
11513500	"Chocolate syrup, whole milk added"	36	X
11513550	"Chocolate syrup, reduced fat milk added"		
11513600	"Chocolate syrup, lowfat milk added"		
11513700	"Chocolate syrup, skim milk added"	37.5	X
11514100	"Cocoa, sugar, and dry milk mixture, water added"	37.5	X
11514300	"Cocoa with nonfat dry milk and low calorie sweetener, mixture, water added"	24	X
11514500	"Cocoa, whey, and low calorie sweetener, mixture, fortified, water added"		
11515100	"Cocoa and sugar mixture fortified with vitamins and minerals, milk added, NS as to type of milk, Puerto Rican style"		
11515400	"Cocoa with nonfat dry milk and low calorie sweetener, high calcium, water added"		
11516000	"Cocoa, whey, and low-calorie sweetener mixture, lowfat milk added"	24	X
11518000	"Milk beverage with nonfat dry milk and low calorie sweetener, water added, chocolate"		
11518050	"Milk beverage with nonfat dry milk and low calorie sweetener, water added, flavors other than chocolate"	24	
11518100	"Milk beverage with nonfat dry milk and low calorie sweetener, high calcium, water added, chocolate"	24	X
11519000	"Milk beverage, made with whole milk, flavors other than chocolate"	35	X
11519050	"Milk, flavors other than chocolate, whole milk-based"	35	X
11519100	"Milk beverage, beads, chocolate, whole milk added"		
11520000	"Milk, malted, unfortified, NS as to flavor, made with milk"	45	X
11521000	"Milk, malted, unfortified, chocolate, made with milk"		
11521010	"Milk, malted, unfortified, chocolate, made with skim milk"		
11522000	"Milk, malted, unfortified, natural flavor, made with milk"		
11525000	"Milk, malted, fortified, natural flavor, made with milk"	45	X
11526000	"Milk, malted, fortified, chocolate, made with milk"	45	X
11527000	"Milk, malted, fortified, NS as to flavor, made with milk"	45	X
11531000	"Eggnog, made with whole milk"	Null	X
11531500	"Eggnog, made with 2% reduced fat milk (formerly eggnog, made with ""2% lowfat"" milk)"		
11533000	"Eggnog, beads, reconstituted"		
11541000	"Milk shake, NS as to flavor or type"	44	X
11541100	"Milk shake, homemade or fountain-type, NS as to flavor"		
11541110	"Milk shake, homemade or fountain-type, chocolate"	44	X
11541120	"Milk shake, homemade or fountain-type, flavors other than chocolate"	44	X
11541400	Milk shake with malt	53	X
11541500	"Milk shake, made with skim milk, chocolate"	46.5	X
11541510	"Milk shake, made with skim milk, flavors other than chocolate"	46.5	X
11542000	"Carry-out milk shake, NS as to flavor"		
11542100	"Carry-out milk shake, chocolate"	44	X
11542200	"Carry-out milk shake, flavors other than chocolate"	44	X
11551050	Milk fruit drink		
11551100	"Milk fruit drink, Puerto Rican style (Champola de frutas)"		
11552200	Milk-based fruit drink	42.5	X
11553000	"Fruit smoothie drink, made with fruit or fruit juice and dairy products"		
11553100	"Fruit smoothie drink, NFS"		
11560000	"Chocolate-flavored drink, whey- and milk-based"	37.5	X
11560020	"Flavored milk drink, whey- and milk-based, flavors other than chocolate"	35	X
11560100	"Flavored milk drink, skim milk and cream-based, flavors other than chocolate"		
11560110	"Chocolate-flavored milk drink, skim milk and cream-based"		
11561010	Cafe con leche prepared with sugar		
11611000	"Instant breakfast, fluid, canned"	26	X
11612000	"Instant breakfast, powder, milk added"	26	X
11613000	"Instant breakfast, powder, sweetened with low calorie sweetener, milk added"		
11621000	"Diet beverage, liquid, canned"	26	X
11622000	"Diet beverage, powder, milk added"		
11622010	"Diet beverage, powder, reconstituted with skim milk"		
11623000	"Meal supplement or replacement, commercially prepared, ready-to-drink"	50	X
11631000	"High calorie beverage, canned or powdered, reconstituted"	61	X
11641000	"Meal supplement or replacement, milk-based, high protein, liquid"	33	X
11651010	"Meal replacement formula, Cambridge diet, reconstituted, all flavors"		
11710000	"Infant formula, NFS"		
11710050	"Alimentum, with iron, infant formula, NS as to form"		
11710051	"Alimentum, with iron, infant formula, ready-to-feed"		
11710100	"Enfamil, low iron, infant formula, NS as to form"		
11710101	"Enfamil, low iron, infant formula, ready-to-feed"		
11710102	"Enfamil, low iron, infant formula, prepared from liquid concentrate"		
11710103	"Enfamil, low iron, infant formula, prepared from powder"		
11710110	"Gerber, with iron, infant formula, NS as to form"		
11710111	"Gerber, with iron, infant formula, ready-to-feed"		
11710112	"Gerber, with iron, infant formula, prepared from liquid concentrate"		
11710113	"Gerber, with iron, infant formula, prepared from powder"		
11710120	"Gerber, low iron, infant formula, NS as to form"		
11710121	"Gerber, low iron, infant formula, ready-to-feed"		
11710122	"Gerber, low iron, infant formula, prepared from liquid concentrate"		
11710123	"Gerber, low iron, infant formula, prepared from powder"		
11710200	"Similac, low iron, infant formula, NS as to form"		
11710201	"Similac, low iron, infant formula, ready-to-feed"		
11710202	"Similac, low iron, infant formula, prepared from liquid concentrate"		
11710203	"Similac, low iron, infant formula, prepared from powder"		
11710250	"Similac Natural Care, low iron, infant formula, NS as to form"		
11710251	"Similac Natural Care, low iron, infant formula, ready-to-feed"		
11710400	"Similac, with iron, infant formula, NS as to form"		
11710401	"Similac, with iron, infant formula, ready-to-feed"		
11710402	"Similac, with iron, infant formula, prepared from liquid concentrate"		
